park_id,fee_id
00E65872-53F7-4C9B-BD29-B9BC99930D0D,2
0103833B-8114-4483-9754-11B5171BCB20,2
0260D050-761A-4446-AB05-641986F9FDFB,2
0265E5A4-576A-4626-882A-05971DEE9B76,2
0419867F-20D9-49CF-BC42-88F5A70AD32D,2
041B325C-A34F-4027-8E41-1DF3F9A1D799,2
0477F67A-A350-449F-B001-848F867F2CA2,2
04CB5DB1-522B-4C2C-BB3F-C36361E391E7,2
05106DE8-D6F2-4088-9834-79462FBDDA21,2
0529BC85-CD42-4DA9-AC60-CAD7C40C3525,2
05F2A0A7-317D-4C4F-95D6-F046BE96310C,2
061D9754-B947-48FD-99BE-1FE1AAD1BB90,1
061F7BA2-8C57-4471-A31E-302AD99E3F6A,2
062F89B7-8DB4-4ACD-88D1-573669E63091,2
07229CB8-8533-4669-B614-2B884779DD93,1
07A92FEB-682E-4895-8070-3323BC6F9EF7,2
07D9E506-B86A-4762-801F-2D333F369D5D,2
0826F21E-43A2-4675-8D2A-11F676293364,2
08EFF7E4-0FE4-4402-B23A-124EB8AAC249,2
09689FA5-2147-4BF2-935C-AE92AB85A2E5,2
09812D3A-1E2B-4402-9ABC-31C79BCB9F6B,2
0AEC82D5-0D49-492A-9936-DBE44AF69F09,2
0B61230F-375C-4392-BDF0-BB3FC43D2CFE,2
0C7D40DF-85BC-439E-BE58-34E11C1D4095,2
0E797FA8-6E31-418B-A68F-13CEE37A2AF5,2
0F6893CF-FC15-4AC5-8C95-E70FC9C21B1A,1
0FC25325-87AA-4325-A6B7-C404D94B16DB,1
10505DA0-A627-47EA-8533-5C67C3B2AF15,2
10AEFADA-AFA0-4998-A9E5-3F504F351AAB,1
111711AC-B056-4CCF-B08F-35EE0E313CF4,2
1172F473-8129-42CA-9A47-C9D0AC5CAF66,2
11E73438-0CCC-4441-A76A-1995F67F2D89,2
126A6227-E39F-44F4-A279-B1EA257CBCDA,1
1291920D-2428-4FEA-9670-7EBC45284A59,2
1388A0C7-D12A-4642-885A-A9C723458BA3,1
13E255FA-F68C-491C-828C-59E5B4FA2600,2
13E32BB8-D80B-45FA-ABF7-9C0CA5417ADC,2
14025CA9-91DE-4D36-B4CA-9880463C3BC2,2
167A05D1-5793-49E0-89FE-0A1DDFA9A7F4,1
16809469-7649-4DFA-9C76-57F2B9946DDC,2
16B99840-35CB-4D14-BB83-136C371EFD2E,2
16CCCC56-1DC1-47D6-AE91-E939955BFC53,2
186BF51D-FA34-4DD7-A967-233CB32547B8,2
1A47416F-DAA3-4137-9F30-14AF86B4E547,2
1ABD0EFF-AC09-4EA1-8CC1-2351A3E160D0,1
1BB1F955-A830-4E85-A80F-5E940A143CE5,2
1D530576-5363-4264-9A26-1C0809DB0B6A,2
1E521374-B73C-41CD-B524-89E4AC6495F5,2
1EAEF5FA-8CD4-40D7-8B09-07F20E3E5AA5,2
1F38885B-538E-499C-B5A6-30D76267AC7F,1
1FC8F995-C4F2-4553-BDE4-BB43AAB12ED6,1
2067FAB2-41D4-43DF-8142-9B1FC40AFDFC,1
211E9758-FA5F-4BAA-AABF-D939B7C07A79,2
22177869-21C7-49A1-961C-3F2114F01007,2
2337D255-2D32-4997-957A-D461EEA03AF8,2
249AF67F-BB6C-4D0A-B632-07BEE855D24B,2
25554F74-A4AB-4C49-9071-341F00F0DAB8,2
259CE799-32C4-4CA9-BBDF-2F305018289C,2
2666104A-6685-4F93-9412-8091007BEF6C,1
26FBF456-94A2-413C-87D9-DDBCD96815FA,2
2828F5DF-F4E9-48DE-9D4D-2EC39E0276B2,1
28ECD546-FD68-4640-8A31-773F7F7A5211,1
28F155F2-5116-4E4F-9E21-E8CBCFA5FF49,2
29329926-4215-4E10-83B8-5CF162A0E3F1,1
2977669B-4B2E-4044-B2CC-701D9521E4AC,2
2B14155F-0E31-43F3-8B87-8B1DA6FA0BF7,2
2B5178C6-2446-488C-AC31-47E3CEBF7159,1
2CA10B86-DCA3-456F-8C9A-A3A6C9288573,2
2D0C31DF-BE78-42A8-812E-1A44602B3D40,2
2DB09FB7-0408-44C9-8083-8F50039BD6DA,1
2DC9444C-880F-4738-BA1F-6FB123935A02,1
2E4D4918-95DF-4D99-9DEC-C6ADEB330281,1
2ED6E071-57AA-4B08-8DDA-5CB09FBB75C8,2
2EE542B6-3806-4E9C-ABBD-C4CC4C7E97C7,2
2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,1
2FB7A664-0F66-49A3-9460-194F4073BA3F,2
307BE169-345D-472C-8128-20F1D59864A7,1
319E07D8-E176-41F8-98A9-1E3F8099D0AB,1
31B7A1C7-104D-4D35-BC85-FEFAC3FECEB0,2
31E84ADD-24C1-400B-9D8B-4588D8DC521C,2
3249A652-F901-40F2-A608-635B0F41574B,1
3262234F-A56A-447D-AE6C-F5C734ABD3A4,2
32D2B528-193E-43FA-BF38-32493D9E317D,1
3350C18C-8E07-487B-930E-37AD873D31AD,2
335368E4-B5CE-4370-8324-4A841AFA5025,1
34CB30BA-8A5F-4563-AA34-6633708DD9DC,2
353241CC-4C4A-4F9E-A928-EFDCE2C6E29A,2
35CB040E-765C-47D0-A594-05943E64EF3E,1
36223C80-D2F3-45E3-9C44-BEA58A072985,2
36240051-018E-4915-B6EA-3F1A7F24FBE4,1
3659D57D-BF06-4351-8B14-5F447120A389,2
3682DBDE-6746-4979-86CC-2358C5B72661,2
372AF558-26C8-461F-B011-AF359276398D,1
37C48EE0-2881-4D22-8F91-A249AE3B0CD0,2
37E34290-2E37-4A67-8C95-7A3442F354B1,1
380E7DFB-6F37-499F-8996-356EC5F0DDE5,2
387A28F2-022F-4C06-A486-E9E7777B12C2,2
3A2AEA7C-8896-4445-9763-932B4A74CF34,2
3A9B0972-7F97-4F8C-9B44-A5FA8DEB1AC1,2
3AA12AD8-4FEB-491D-AEB2-CC0F74CD00E0,2
3AB31FA9-E174-4A03-952D-397944D3A3C8,2
3ACC9199-1234-4E50-B80E-65DB783B4BB7,2
3B4879C9-E8D3-4B0C-9F6D-8345FAA298A6,2
3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1,2
3BA4ACE6-0FFE-4B56-8C07-B3F05DC304DB,2
3BF9BCEE-F6AE-4DEC-8F80-9CD23C0767BE,2
3C5998C3-F130-4E4C-8BA4-C1B25E728CE0,2
3C869976-DF2E-4D99-9918-366DFE637846,2
3D026091-7EFB-405D-A8F2-D9109DE9740A,2
3D0F91B3-E847-4F75-9028-D26D269438F5,2
3D547E73-F0BF-4FEA-9CAC-9611D024E2FF,2
3E1E316B-2F1A-4F08-8BD0-AE64761D68C2,2
3E8C5A4D-6302-4E50-9FCC-A9EC7BFBF1D6,2
3FBC6D2D-C61B-4399-BC35-1B00C92C406A,2
406594CB-1532-45CD-82EA-0C03FD2F0422,2
406F7D87-F34F-41C9-9CCE-9FD53ABBA9A7,2
415AA3E1-CE8A-4A24-BD69-451C87107AA4,1
41813A9C-A947-4078-9DAA-4CE952F4E512,2
41BAB8ED-C95F-447D-9DA1-FCC4E4D808B2,1
42D7081F-2B9B-449C-9BF2-785850AE4865,2
42E23CFA-4849-43D1-B9C7-77509C0AB85B,2
4301F6E9-750B-489D-B8E4-4204165894A1,2
4324B2B4-D1A3-497F-8E6B-27171FAE4DB2,1
43AC146A-0903-4E4A-BD7D-7169655009C7,2
45408368-12DB-4950-92A8-E26AC85E3724,1
461D40CC-4379-4C1B-ADB8-3563147F61A1,1
46CA5FAF-2AEE-4795-B609-8CB81F9FBBEC,2
473EFACE-EE15-4A4F-AA6C-666810A9E27D,1
480702B9-E8B5-45A1-ACB4-7B044C13F7A2,2
481CEBB8-1942-4FAE-8D89-9902E7B9EECA,2
48C4BDA1-98A3-441A-87FF-BAAB3AA043AE,2
48ED0744-7B8A-4FFD-BEFC-C4AC22A7D649,2
4930BAEB-A3BF-4825-9796-DCD0FD1C3BD5,1
4A2954A3-F00F-46E4-8FC7-BB2766350518,2
4BE453C2-6527-484F-90D6-98057901EBDF,2
4C1A549B-080F-4522-9CA7-67BB5A0845CA,2
4DC6F018-E87E-46AE-8F05-BA30D3B82FF9,1
4E072F12-3E85-4219-B456-A8F04C688879,2
4E169088-14AC-41DB-A6B2-BB3925B1CF0A,2
4E7F8D4B-68EC-4A1B-BB71-0A295EB08557,2
52430E36-3361-4BB8-BE6F-0F2834E50CB3,2
53C5C818-EB7C-4FEB-B94F-892588205D64,2
542D7CC3-B948-4891-9811-829661F30686,2
54DC5EA0-2635-4154-BBD0-AF0F38D76933,1
5536A389-5457-4E3F-84E2-D67861BB34D9,2
5590468F-2446-4B46-A8C1-42505177C298,2
5595FC7A-F218-4439-8D2E-F47449838820,2
55ABA58B-B19E-4851-BDE1-1C0712B2BE2C,2
56A5A3B1-4F49-4517-86B8-AE2F272D0C42,2
57B2D95A-6D3E-49D6-BF73-623D6BD33D06,2
57CCF213-6285-408F-AD58-CC2DB9D5B6C1,2
5837B4BA-86B4-4162-803C-E9DF325D5FC6,2
58BCDB2B-5A91-4892-8470-76D802313884,2
59636FCE-DE81-4D98-890C-585BD48F9AD0,2
59E30CB1-C2C3-4444-BCA9-29B0FE16DCCD,1
5A4DD23B-8B4F-4212-957E-C59FE4165457,1
5AAB8CB5-2F62-4BD7-82D1-E19963FA94C1,2
5AD68231-8681-43F6-89B1-08E5AA4C7FE6,2
5B1021C9-5F48-4747-B0E4-6F508FDF96AE,2
5C51E54A-BCDA-4186-96C3-1B896C3CDFCB,2
5CB26B91-B888-46E0-95E1-0683A63C45B0,2
5D443C5F-19A0-4A06-9CE4-30534A3DD81A,2
5D4AA834-B601-44A8-B786-FF3306BA8A39,2
5DE19B04-85AD-4C3A-93BF-A0D484B1AD91,2
5EA02193-276A-4037-B7DB-5765A56935FD,1
5F76F85B-23F4-4616-AA0B-A26E8DE76593,2
5FD56750-4A13-4615-B987-793AC356B320,2
60B1534B-5C3A-402A-ABC6-700B756F69A2,2
617A3B73-D7CD-449D-8E27-41DE3BF149A6,2
61EC5C9A-1A38-4040-AE38-E62FD2A9A836,2
622B7696-B7D8-41D8-A3C9-C82A60D0CD12,1
6258CAD9-1932-4A40-8FA1-891C51978345,2
6278FE68-139E-4758-A6DE-9A0437F777B5,2
6282ABFA-00EF-413D-BE91-48D993A356F4,2
632CA28B-F67C-4BDB-A209-42A8332EE6D0,1
63A8DCC0-0A62-4164-BF0B-51F6369B9E8B,2
649C339B-35AE-4A4D-96A5-B54E46BA8D71,2
64B7871C-C058-45BA-BB7C-D3EAD50B23E8,1
64B9F127-31ED-43C9-882D-D7CD471AF314,2
64FF65B7-0847-4495-9464-667CAFBF4D16,2
6510001B-685D-4688-A963-4ECE7AB609DB,1
658C035B-119B-4C6F-9720-67872AD6A8A5,2
65E0DF4A-4082-4B48-93BD-5021987CDD7A,2
67A56B17-F533-4A56-B2DA-26091C6AD295,1
67B6A06A-1B09-44DE-BCA4-C013EE30DDD0,2
686C8EC8-5487-43B9-B5E8-FCABD56227F0,1
6876F4F4-9B8F-4648-89EA-C1BBF770C494,2
691831BF-F280-4E02-BF4A-FF476BC66B23,2
69C5BC24-3065-401D-86C2-3FAC411E1327,1
69F87C0F-AABE-4C34-97D3-F6DF33ACD772,2
6A1737A1-6848-4087-AAF7-68A427247357,2
6B1D053D-714F-46D1-B410-04BE868F14C1,1
6C6ABAB9-7F52-4172-8009-817612726CFF,2
6D82D070-995A-4524-A56E-C1CE182E7D9B,2
6DA17C86-088E-4B4D-B862-7C1BD5CF236B,1
6E020F5D-3F97-4A43-88E6-C68254B55F2C,2
6E3608BE-63AA-4379-A543-97D2FCBF12F1,2
6E71B72E-4F2F-495D-9225-A6634E6C2EB1,2
6E9B2F16-4CFE-49B2-A95E-87E4F02E79FF,1
6ED827FD-EA71-443E-83EE-9367FD14F940,2
6F550E4D-AE26-4250-A674-397E2DF88092,2
